#Archivo DAT, Proyecto Final EII410 (Instancia E8_1_10_40)
set C:= 1,2,3,4;
set D:= 5,6,7,8,9,10;
set N:= 0,1,2,3,4,5,6,7,8,9,10;
set S:= 1,2,3,4,5,6,7,8,9,10;
set R:= (7,6),(10,1),(7,2),(8,4),(9,7),(10,2);

param c:
    0	1	2	3	4	5	6	7	8	9	10 :=
0	0	0	0	0	0	0	0	0	0	0	0
1	18	0	0	0	0	0	0	0	0	0	0
2	14	8	0	0	0	0	0	0	0	0	0
3	20	22	25	0	0	0	0	0	0	0	0
4	10	15	20	25	0	0	0	0	0	0	0
5	20	45	10	25	10	0	0	0	0	0	0
6	35	20	35	20	15	30	0	0	0	0	0
7	10	11	17	12	10	15	14	0	0	0	0
8	16	15	10	26	17	18	28	34	0	0	0
9	19	15	27	20	21	29	22	25	23	0	0
10	24	25	20	34	26	65	27	47	23	15	0;


param a:=
5	12
6	10
7	15
8	11
9	15
10	14;

param b:=
1	15
2	20
3	14
4	13;

param M:=
1	37
2	76
3	64
4	53;

param Q:= 98;
